Designator,Mid X,Mid Y,Layer,Rotation
C1,20.32,52.07,Top,0.0
C2,20.32,48.26,Top,0.0
C3,20.32,33.02,Top,0.0
C4,20.32,24.13,Top,0.0
C5,20.32,41.91,Top,0.0
C6,20.32,38.10,Top,0.0
C7,20.32,20.32,Top,0.0
C8,20.32,29.21,Top,0.0
C9,20.32,11.43,Top,0.0
C10,20.32,15.24,Top,0.0
Q1,49.53,81.28,Top,90.0
Q2,49.53,39.37,Top,90.0
Q3,49.53,67.31,Top,90.0
Q4,36.83,36.83,Top,0.0
Q5,71.12,15.24,Top,90.0
Q6,36.83,25.40,Top,0.0
Q7,38.10,13.97,Top,0.0
Q8,54.61,25.40,Top,90.0
Q12,49.53,53.34,Top,90.0
R1,68.58,74.93,Top,90.0
R2,68.58,67.31,Top,270.0
R3,69.85,45.72,Top,270.0
R4,71.12,30.48,Top,270.0
R5,62.23,13.97,Top,0.0
R6,57.15,16.51,Top,180.0
U$4,40.64,80.01,Top,270.0
U$5,40.64,68.58,Top,270.0
U$6,41.91,49.53,Top,270.0
U1,27.94,49.53,Top,0.0
U2,27.94,40.64,Top,0.0
U3,27.94,31.75,Top,0.0
U4,27.94,22.86,Top,0.0
U5,27.94,13.97,Top,0.0
